Longitude, Latitude, Line Group (Path ID), Order of Points 
-121.776592, 37.672079681818175, 1, 177
-121.76408888888888, 37.67322014814814, 1, 178
-121.78088888235294, 37.68644982352941, 1, 179
-121.78437046153847, 37.69113246153846, 1, 180
-121.76504118518521, 37.696214740740736, 1, 181
-121.75275390476187, 37.68524985714286, 1, 182
-121.74166258823529, 37.675342, 1, 183
-121.72851335714286, 37.68400535714285, 1, 184
-121.72495564285714, 37.689442214285705, 1, 185
-121.66804142222226, 37.59432604444445, 1, 186
-121.49538729166663, 37.71776239583334, 1, 187
-121.475717440367, 37.78484697247708, 1, 188
-121.44378527272728, 37.750613727272736, 1, 189
-121.475717440367, 37.78484697247708, 1, 190
-121.44044688235293, 37.757728941176474, 1, 191
-121.421808, 37.75245452941177, 1, 192
-121.36569967256634, 37.78542270796459, 1, 193
-121.42331511764708, 37.71067976470588, 1, 194
-121.4443498095238, 37.71450909523809, 1, 195
-121.43549568421052, 37.71861384210526, 1, 196
-121.44435061538462, 37.73386461538461, 1, 197
-121.4448035714286, 37.74407257142857, 1, 198
-121.43206636363638, 37.73345445454546, 1, 199
-121.44435061538462, 37.73386461538461, 1, 200
-121.47383489690723, 37.602364876288654, 1, 201
-121.28525730000001, 37.71918056428572, 1, 202
-121.26501017454547, 37.46031706545454, 1, 203
-121.28525730000001, 37.71918056428572, 1, 204
-121.42331511764708, 37.71067976470588, 1, 205
-121.27779615789471, 37.78431257894737, 1, 206
-121.22470070370373, 37.78282540740741, 1, 207
-121.18947178571428, 37.799096500000005, 1, 208
-121.22470070370373, 37.78282540740741, 1, 209
-121.2020275483871, 37.80043570967742, 1, 210
-121.15616748387095, 37.72704403225807, 1, 211
-121.10655327906979, 37.77135143023256, 1, 212
-121.120896525, 37.733984875, 1, 213
-121.05846055238095, 37.73743984761906, 1, 214
-121.02367805000002, 37.69701774999999, 1, 215
-121.06001984615384, 37.69417707692308, 1, 216
-121.03795886666666, 37.676165266666665, 1, 217
-121.02398385000001, 37.66453425, 1, 218
-121.03332492307693, 37.656768846153845, 1, 219
-121.0326010222222, 37.629627311111115, 1, 220
-121.15724909523809, 37.67582516402117, 1, 221
-121.01763732142858, 37.63035814285714, 1, 222
-121.0326010222222, 37.629627311111115, 1, 223
-121.00847082352942, 37.63747447058824, 1, 224
-120.99139395238093, 37.637713380952384, 1, 225
-121.0037165384615, 37.62157469230769, 1, 226
-121.00387423809528, 37.61046954761905, 1, 227
-120.9809576956522, 37.62057152173914, 1, 228
-120.96603429411765, 37.60447917647059, 1, 229
-120.94705549999999, 37.5874030625, 1, 230
-120.94001291176471, 37.564365499999994, 1, 231
-120.94236644615386, 37.4888851846154, 1, 232
-120.94001291176471, 37.564365499999994, 1, 233
-120.86941043750001, 37.533213874999994, 1, 234
-121.120896525, 37.733984875, 1, 235
-121.22470070370373, 37.78282540740741, 1, 236
-121.28845081818181, 37.818449454545444, 1, 237
-121.30324754736846, 37.82308541052632, 1, 238
-121.28319655555555, 37.83328922222221, 1, 239
-121.27795262500001, 37.889749425000005, 1, 240
-121.29475534999997, 37.90579755, 1, 241
-121.2848481, 37.91712565, 1, 242
-121.30700477142862, 37.92080828571429, 1, 243
-121.28911880000001, 37.92885855, 1, 244
-121.29013004761906, 37.943984190476186, 1, 245
-121.31904979411766, 37.93980476470589, 1, 246
-121.29893747619049, 37.95246380952381, 1, 247
-121.3068888, 37.961124299999994, 1, 248
-121.29893747619049, 37.95246380952381, 1, 249
-121.28505771428573, 37.9534840952381, 1, 250
-121.27441992857142, 37.94853557142857, 1, 251
-121.26021672222224, 37.95240444444445, 1, 252
-121.24505005555554, 37.95427072222222, 1, 253
-121.2567633125, 37.968201625, 1, 254
-121.25688246666665, 37.97583866666667, 1, 255
-121.21998830303033, 37.98936406060605, 1, 256
-121.23553810000001, 37.9644145, 1, 257
-121.33032386956519, 37.95813508695652, 1, 258
-121.32768935294119, 37.96736694117648, 1, 259
-121.32751627272727, 37.978196545454544, 1, 260
-121.32589974074072, 37.983188185185185, 1, 261
-121.35042148148148, 37.966902037037045, 1, 262
-121.3409729090909, 37.99559909090909, 1, 263
-121.35042148148148, 37.966902037037045, 1, 264
-121.35938368750001, 37.98122134374999, 1, 265
-121.3406377105263, 38.00606226315788, 1, 266
-121.35919209090912, 38.0006828181818, 1, 267
-121.36297800000001, 38.00931015789473, 1, 268
-121.3821033235294, 38.02743179411764, 1, 269
-121.3890854074074, 38.04866611111111, 1, 270
-121.47639635779818, 38.159918931192664, 1, 271
-121.39927472477059, 38.31490052293577, 1, 272
-121.46691951851854, 38.394662370370376, 1, 273
-121.46778409523809, 38.41056671428571, 1, 274
-121.4751306111111, 38.42289105555556, 1, 275
-121.46497297777779, 38.443741399999986, 1, 276
-121.46991943243248, 38.4623574054054, 1, 277
-121.49230099999998, 38.47580284210526, 1, 278
-121.51249314814815, 38.50105403703703, 1, 279
-121.46778409523809, 38.41056671428571, 1, 280
-121.35042148148148, 37.966902037037045, 1, 281
-121.475717440367, 37.78484697247708, 1, 282
-121.430583875, 37.7465014375, 1, 283
-121.73241923809523, 37.696280904761906, 1, 284
-121.74776037142856, 37.709608628571424, 1, 285
-121.79010021428574, 37.6639815, 1, 286
-121.78923409090908, 37.649750636363635, 1, 287
-121.81450254054053, 37.689359891891904, 1, 288
-121.95721330555554, 37.70826952777779, 1, 289
-121.94408680000001, 37.70864946666667, 1, 290
-121.93155399999999, 37.71079691304348, 1, 291
-121.97724251515154, 37.745148575757554, 1, 292
-121.97494123076923, 37.76418646153845, 1, 293
-121.99177579629628, 37.7816225, 1, 294
-121.97730575862067, 37.79509227586207, 1, 295
-121.96412897777775, 37.797600222222215, 1, 296
-121.9440626578947, 37.79394889473684, 1, 297
-121.94969040000001, 37.746735750000006, 1, 298
-121.95080599999999, 37.75506234615385, 1, 299
-121.94931619999998, 37.773143857142855, 1, 300
-121.93918714285714, 37.73221592857142, 1, 301
-121.92724063636365, 37.74027109090909, 1, 302
-121.89382714705886, 37.74720285294118, 1, 303
-121.88373180392156, 37.7703477254902, 1, 304
-121.82641391707317, 37.843511117073184, 1, 305
-121.60411276033058, 37.84738023140495, 1, 306
-121.59166960227276, 37.93368540909092, 1, 307
-121.60822306250002, 37.9058889375, 1, 308
-121.58391112820514, 37.908203230769224, 1, 309
-121.46700874261609, 37.911601797468315, 1, 310
-121.82641391707317, 37.843511117073184, 1, 311
-121.91395009090907, 37.72353090909091, 1, 312
-121.91882914285713, 37.711538952380955, 1, 313
-121.89041508333334, 37.719655875, 1, 314
-121.88748899999999, 37.705987071428574, 1, 315
-121.92815610909089, 37.76575067272727, 1, 316
-121.91668211999996, 37.765618960000005, 1, 317
-121.90798425581396, 37.78882932558139, 1, 318
-121.90486258823528, 37.80530823529412, 1, 319
-122.09401850704221, 37.759780098591555, 1, 320
-122.06639719999998, 37.681114533333336, 1, 321
-122.08354443999997, 37.67448520000001, 1, 322
-122.06532902941174, 37.67162064705882, 1, 323
-122.04389459459455, 37.667236486486495, 1, 324
-122.09472490909091, 37.68069936363636, 1, 325
-122.10699568421055, 37.68244226315789, 1, 326
-122.10144377777777, 37.67479133333333, 1, 327
-122.0923189375, 37.667010187500004, 1, 328
-122.12478551724139, 37.69882548275861, 1, 329
-122.13389000000001, 37.714430444444446, 1, 330
-122.12388003636364, 37.72117892727272, 1, 331
-122.14277466666667, 37.727338333333336, 1, 332
-122.14683436363636, 37.736857772727284, 1, 333
-122.1568991875, 37.732926437500005, 1, 334
-122.16620275, 37.73216555, 1, 335
-122.17218436842104, 37.73772431578947, 1, 336
-122.17926658333334, 37.74542091666667, 1, 337
-122.1834913125, 37.751060875, 1, 338
-122.18853836842106, 37.75405652631579, 1, 339
-122.19636341176468, 37.75824958823529, 1, 340
-122.15524995454547, 37.72340636363637, 1, 341
-122.16284561538463, 37.74105269230769, 1, 342
-122.13190022222221, 37.740782311111104, 1, 343
-122.15231012500003, 37.74711433333334, 1, 344
-122.1571012307692, 37.761367615384614, 1, 345
-122.13861161290323, 37.76235403225806, 1, 346
-122.16625700000003, 37.77123872, 1, 347
-122.18645208000002, 37.781681400000004, 1, 348
-122.19294746666665, 37.77752166666666, 1, 349
-122.19717116666665, 37.76961775, 1, 350
-122.20666061538462, 37.771633846153854, 1, 351
-122.20384255555554, 37.77695133333333, 1, 352
-122.21124781249999, 37.780730625000004, 1, 353
-122.21525341666666, 37.78295325, 1, 354
-122.21675009999998, 37.78791199999999, 1, 355
-122.21905294117647, 37.77855529411765, 1, 356
-122.18870777272727, 37.769182499999985, 1, 357
-122.18296595652176, 37.76600226086957, 1, 358
-122.17214907692308, 37.76430830769231, 1, 359
-122.16679393749999, 37.756158625000005, 1, 360
-122.17301338888888, 37.75306666666667, 1, 361
-122.17903327777776, 37.760569277777776, 1, 362
-122.1851974782609, 37.78914456521739, 1, 363
-122.18993279999998, 37.79403104999999, 1, 364
-122.19480814814813, 37.799211666666665, 1, 365
-122.18432277272723, 37.804283409090914, 1, 366
-122.15951134545459, 37.78765447272727, 1, 367
-122.20085136000002, 37.80289616, 1, 368
-122.20858241176472, 37.81188841176471, 1, 369
-122.1893644166667, 37.82090877777778, 1, 370
-122.20098290000001, 37.83453693333334, 1, 371
-122.2171232352941, 37.82761629411764, 1, 372
-122.234991, 37.83562692592592, 1, 373
-122.22787951612901, 37.822417096774195, 1, 374
-122.24191047826086, 37.824219, 1, 375
-122.21273286666664, 37.805621800000004, 1, 376
-122.20286853333332, 37.7880246, 1, 377
-122.20831723076923, 37.79307153846154, 1, 378
-122.2155540909091, 37.79600763636363, 1, 379
-122.2220186, 37.79512313333334, 1, 380
-122.2251756153846, 37.789474, 1, 381
-122.2306095625, 37.7980703125, 1, 382
-122.23789377777777, 37.80058011111112, 1, 383
